Length,GeneticVariance,SelectionIntensity,SelectionAccuracy,ResponsetoSelection
1,0,0,0,0
1,0,0,0.1,0
1,0,0,0.2,0
1,0,0,0.3,0
1,0,0,0.4,0
1,0,0,0.5,0
1,0,0,0.6,0
1,0,0,0.7,0
1,0,0,0.8,0
1,0,0,0.9,0
1,0,0,1,0
1,0,0.1,0,0
1,0,0.1,0.1,0
1,0,0.1,0.2,0
1,0,0.1,0.3,0
1,0,0.1,0.4,0
1,0,0.1,0.5,0
1,0,0.1,0.6,0
1,0,0.1,0.7,0
1,0,0.1,0.8,0
1,0,0.1,0.9,0
1,0,0.1,1,0
1,0,0.2,0,0
1,0,0.2,0.1,0
1,0,0.2,0.2,0
1,0,0.2,0.3,0
1,0,0.2,0.4,0
1,0,0.2,0.5,0
1,0,0.2,0.6,0
1,0,0.2,0.7,0
1,0,0.2,0.8,0
1,0,0.2,0.9,0
1,0,0.2,1,0
1,0,0.3,0,0
1,0,0.3,0.1,0
1,0,0.3,0.2,0
1,0,0.3,0.3,0
1,0,0.3,0.4,0
1,0,0.3,0.5,0
1,0,0.3,0.6,0
1,0,0.3,0.7,0
1,0,0.3,0.8,0
1,0,0.3,0.9,0
1,0,0.3,1,0
1,0,0.4,0,0
1,0,0.4,0.1,0
1,0,0.4,0.2,0
1,0,0.4,0.3,0
1,0,0.4,0.4,0
1,0,0.4,0.5,0
1,0,0.4,0.6,0
1,0,0.4,0.7,0
1,0,0.4,0.8,0
1,0,0.4,0.9,0
1,0,0.4,1,0
1,0,0.5,0,0
1,0,0.5,0.1,0
1,0,0.5,0.2,0
1,0,0.5,0.3,0
1,0,0.5,0.4,0
1,0,0.5,0.5,0
1,0,0.5,0.6,0
1,0,0.5,0.7,0
1,0,0.5,0.8,0
1,0,0.5,0.9,0
1,0,0.5,1,0
1,0,0.6,0,0
1,0,0.6,0.1,0
1,0,0.6,0.2,0
1,0,0.6,0.3,0
1,0,0.6,0.4,0
1,0,0.6,0.5,0
1,0,0.6,0.6,0
1,0,0.6,0.7,0
1,0,0.6,0.8,0
1,0,0.6,0.9,0
1,0,0.6,1,0
1,0,0.7,0,0
1,0,0.7,0.1,0
1,0,0.7,0.2,0
1,0,0.7,0.3,0
1,0,0.7,0.4,0
1,0,0.7,0.5,0
1,0,0.7,0.6,0
1,0,0.7,0.7,0
1,0,0.7,0.8,0
1,0,0.7,0.9,0
1,0,0.7,1,0
1,0,0.8,0,0
1,0,0.8,0.1,0
1,0,0.8,0.2,0
1,0,0.8,0.3,0
1,0,0.8,0.4,0
1,0,0.8,0.5,0
1,0,0.8,0.6,0
1,0,0.8,0.7,0
1,0,0.8,0.8,0
1,0,0.8,0.9,0
1,0,0.8,1,0
1,0,0.9,0,0
1,0,0.9,0.1,0
1,0,0.9,0.2,0
1,0,0.9,0.3,0
1,0,0.9,0.4,0
1,0,0.9,0.5,0
1,0,0.9,0.6,0
1,0,0.9,0.7,0
1,0,0.9,0.8,0
1,0,0.9,0.9,0
1,0,0.9,1,0
1,0,1,0,0
1,0,1,0.1,0
1,0,1,0.2,0
1,0,1,0.3,0
1,0,1,0.4,0
1,0,1,0.5,0
1,0,1,0.6,0
1,0,1,0.7,0
1,0,1,0.8,0
1,0,1,0.9,0
1,0,1,1,0
1,0.1,0,0,0
1,0.1,0,0.1,0
1,0.1,0,0.2,0
1,0.1,0,0.3,0
1,0.1,0,0.4,0
1,0.1,0,0.5,0
1,0.1,0,0.6,0
1,0.1,0,0.7,0
1,0.1,0,0.8,0
1,0.1,0,0.9,0
1,0.1,0,1,0
1,0.1,0.1,0,0
1,0.1,0.1,0.1,0.001
1,0.1,0.1,0.2,0.002
1,0.1,0.1,0.3,0.003
1,0.1,0.1,0.4,0.004
1,0.1,0.1,0.5,0.005
1,0.1,0.1,0.6,0.006
1,0.1,0.1,0.7,0.007
1,0.1,0.1,0.8,0.008
1,0.1,0.1,0.9,0.009
1,0.1,0.1,1,0.01
1,0.1,0.2,0,0
1,0.1,0.2,0.1,0.002
1,0.1,0.2,0.2,0.004
1,0.1,0.2,0.3,0.006
1,0.1,0.2,0.4,0.008
1,0.1,0.2,0.5,0.01
1,0.1,0.2,0.6,0.012
1,0.1,0.2,0.7,0.014
1,0.1,0.2,0.8,0.016
1,0.1,0.2,0.9,0.018
1,0.1,0.2,1,0.02
1,0.1,0.3,0,0
1,0.1,0.3,0.1,0.003
1,0.1,0.3,0.2,0.006
1,0.1,0.3,0.3,0.009
1,0.1,0.3,0.4,0.012
1,0.1,0.3,0.5,0.015
1,0.1,0.3,0.6,0.018
1,0.1,0.3,0.7,0.021
1,0.1,0.3,0.8,0.024
1,0.1,0.3,0.9,0.027
1,0.1,0.3,1,0.03
1,0.1,0.4,0,0
1,0.1,0.4,0.1,0.004
1,0.1,0.4,0.2,0.008
1,0.1,0.4,0.3,0.012
1,0.1,0.4,0.4,0.016
1,0.1,0.4,0.5,0.02
1,0.1,0.4,0.6,0.024
1,0.1,0.4,0.7,0.028
1,0.1,0.4,0.8,0.032
1,0.1,0.4,0.9,0.036
1,0.1,0.4,1,0.04
1,0.1,0.5,0,0
1,0.1,0.5,0.1,0.005
1,0.1,0.5,0.2,0.01
1,0.1,0.5,0.3,0.015
